RXangle,TXangle,RSSI_avg,RSSI_max,Num_of_Samples
43,6,-60.0195,0.0,4004728
44,6,-56.9039,0.0,4003636
45,6,-55.2989,0.0,4004728
46,6,-55.3232,0.0,4005092
47,6,-53.7367,0.0,4008004
48,6,-53.4899,0.0,4005456
49,6,-56.9965,0.0,4005092
50,6,-59.8561,0.0,4005092
51,6,-60.5938,0.0,4005092
52,6,-62.1584,0.0,4005092
53,6,-67.2599,0.0,4005092
54,6,-72.8845,0.0,4005456
55,6,-74.8305,0.0,4005456
56,6,-72.3901,0.0,4004364
57,6,-74.5823,0.0,4005092
58,6,-74.6263,0.0,4003636
59,6,-74.9459,0.0,4005456
60,6,-75.0947,0.0,4003636
61,6,-75.2244,0.0,4005092
62,6,-73.6868,0.0,4004364
63,6,-71.669,0.0,4005092
64,6,-70.1468,0.0,4004364
65,6,-65.6206,0.0,4005092
66,6,-62.1134,0.0,4005092
67,6,-62.507,0.0,4005456
68,6,-68.93,0.0,4005092
69,6,-68.5184,0.0,4005092
70,6,-74.6717,0.0,4005456
71,6,-69.3569,0.0,4005456
72,6,-65.0185,0.0,4004728
73,6,-64.6812,0.0,4005092
74,6,-67.3165,0.0,4006184
75,6,-72.8116,0.0,4005092
76,6,-71.1678,0.0,4005092
77,6,-64.1705,0.0,4004728
78,6,-63.4385,0.0,4005092
79,6,-63.9457,0.0,4005456
80,6,-69.8357,0.0,4005092
81,6,-62.2525,0.0,4002908
82,6,-61.7274,0.0,4005820
83,6,-57.4403,0.0,4002908
84,6,-56.1049,0.0,4005456
85,6,-62.4148,0.0,4005092
86,6,-64.3538,0.0,4005092
87,6,-58.8494,0.0,4002180
88,6,-60.6149,0.0,4005820
89,6,-60.4721,0.0,4005456
90,6,-61.1,0.0,4005092
91,6,-63.8761,0.0,4001452
92,6,-70.7323,0.0,4005820
93,6,-71.3279,0.0,4004364
94,6,-73.28,0.0,4004728
95,6,-73.1773,0.0,4005092
96,6,-72.6442,0.0,4005092
97,6,-74.6113,0.0,4003272
98,6,-73.2208,0.0,4005092
99,6,-73.9904,0.0,4005092
100,6,-73.8678,0.0,4006184
0,7,-73.2823,0.0,4004728
1,7,-71.6192,0.0,4004728
2,7,-68.9616,0.0,4005092
3,7,-66.3109,0.0,4005820
4,7,-66.684,0.0,4005092
5,7,-69.4307,0.0,4004728
6,7,-71.4896,0.0,4005456
7,7,-72.8441,0.0,4005456
8,7,-66.8472,0.0,4005456
9,7,-68.2485,0.0,4003272
10,7,-71.8352,0.0,4005092
11,7,-72.519,0.0,4005092
12,7,-72.9766,0.0,4005092
13,7,-72.0106,0.0,4005456
14,7,-74.9661,0.0,4004728
15,7,-70.7814,0.0,4001452
16,7,-72.1285,0.0,4005456
17,7,-73.6094,0.0,4005092
18,7,-70.9415,0.0,4005092
19,7,-73.3116,0.0,4004728
20,7,-72.6185,0.0,4005092
21,7,-73.7565,0.0,4002544
22,7,-73.6715,0.0,4005092
23,7,-73.6867,0.0,4004364
24,7,-74.2577,0.0,4005092
25,7,-72.5648,0.0,4003636
26,7,-66.9946,0.0,4005820
27,7,-67.53,0.0,4003636
28,7,-69.0216,0.0,4005092
29,7,-73.2354,0.0,4005456
30,7,-69.5942,0.0,4005092
31,7,-64.9148,0.0,4002908
32,7,-67.6455,0.0,4004728
33,7,-71.2793,0.0,4003272
34,7,-69.8785,0.0,4004728
35,7,-68.4229,0.0,4004728
36,7,-72.2383,0.0,4005092
37,7,-72.3072,0.0,4005456
38,7,-70.1,0.0,4005092
39,7,-75.2943,0.0,4002908
40,7,-73.4633,0.0,4005456
41,7,-69.6269,0.0,4005820
42,7,-68.0154,0.0,4005092
43,7,-73.5977,0.0,4002908
